Features,Accuracy,Precision,Recall,F1,Log Loss,ROC-AUC
Type,0.9695,0.0,0.0,0.0,0.13635097192728135,0.5739522654063697
Air temperature [K],0.9695,0.0,0.0,0.0,0.16041909873371765,0.5662839557317867
Process temperature [K],0.9695,0.0,0.0,0.0,0.14030213534867303,0.5726206680814008
Rotational speed [rpm],0.9695,0.0,0.0,0.0,0.1254872540547022,0.7891045747765877
Torque [Nm],0.9695,0.0,0.0,0.0,0.11720278213504458,0.8065210223285622
Tool wear [min],0.9675,0.0,0.0,0.0,0.17178445935195696,0.5743158126125517
"Type, Air temperature [K]",0.9695,0.0,0.0,0.0,0.19853554531130255,0.5693952434498093
"Type, Process temperature [K]",0.9695,0.0,0.0,0.0,0.20647914598079933,0.5683806931069759
"Type, Rotational speed [rpm]",0.969,0.0,0.0,0.0,0.18400371485158634,0.7905587636013156
"Type, Torque [Nm]",0.969,0.0,0.0,0.0,0.13774231217003158,0.7877560682792382
"Type, Tool wear [min]",0.9675,0.0,0.0,0.0,0.15680203117135336,0.6028331318323624
"Air temperature [K], Process temperature [K]",0.9675,0.0,0.0,0.0,0.14665615074942873,0.6011633510597824
"Air temperature [K], Rotational speed [rpm]",0.968,0.38461538461538464,0.08196721311475409,0.13513513513513514,0.1350126728367873,0.7239028060771566
"Air temperature [K], Torque [Nm]",0.966,0.34782608695652173,0.13114754098360656,0.19047619047619047,0.13835307166454588,0.7866823358330727
"Air temperature [K], Tool wear [min]",0.9685,0.25,0.01639344262295082,0.03076923076923077,0.1398255184122133,0.6842930697756998
"Process temperature [K], Rotational speed [rpm]",0.9655,0.1,0.01639344262295082,0.028169014084507043,0.1313685439912209,0.7766551966114019
"Process temperature [K], Torque [Nm]",0.9665,0.25,0.04918032786885246,0.0821917808219178,0.12081134334304505,0.8082626670837596
"Process temperature [K], Tool wear [min]",0.97,0.5714285714285714,0.06557377049180328,0.11764705882352941,0.14082074753878346,0.6535226033361796
"Rotational speed [rpm], Torque [Nm]",0.9675,0.3,0.04918032786885246,0.08450704225352113,0.11520200920440854,0.8298049526965903
"Rotational speed [rpm], Tool wear [min]",0.969,0.46153846153846156,0.09836065573770492,0.16216216216216217,0.11759882929428053,0.8551898477329027
"Torque [Nm], Tool wear [min]",0.974,0.8,0.19672131147540983,0.3157894736842105,0.10316414127351768,0.8638262075262726
"Type, Air temperature [K], Process temperature [K]",0.967,0.0,0.0,0.0,0.1497033593600205,0.6181486147160526
"Type, Air temperature [K], Rotational speed [rpm]",0.966,0.26666666666666666,0.06557377049180328,0.10526315789473684,0.13106012705928335,0.7707116225196358
"Type, Air temperature [K], Torque [Nm]",0.9675,0.4090909090909091,0.14754098360655737,0.21686746987951808,0.11940266486590556,0.8332163782243678
"Type, Air temperature [K], Tool wear [min]",0.969,0.4,0.03278688524590164,0.06060606060606061,0.1508856415669896,0.6921938805705155
"Type, Process temperature [K], Rotational speed [rpm]",0.9675,0.16666666666666666,0.01639344262295082,0.029850746268656716,0.1324524559858422,0.7676172439739937
"Type, Process temperature [K], Torque [Nm]",0.9675,0.4090909090909091,0.14754098360655737,0.21686746987951808,0.128995220669371,0.8243686537762409
"Type, Process temperature [K], Tool wear [min]",0.97,0.6,0.04918032786885246,0.09090909090909091,0.14095657411092918,0.6431995535978492
"Type, Rotational speed [rpm], Torque [Nm]",0.965,0.23529411764705882,0.06557377049180328,0.10256410256410256,0.11769514721672762,0.8198665866299174
"Type, Rotational speed [rpm], Tool wear [min]",0.9655,0.2777777777777778,0.08196721311475409,0.12658227848101267,0.12370466767595543,0.8704546030994512
"Type, Torque [Nm], Tool wear [min]",0.9715,0.5833333333333334,0.22950819672131148,0.32941176470588235,0.10255430177107362,0.8653776240921888
"Air temperature [K], Process temperature [K], Rotational speed [rpm]",0.976,0.9333333333333333,0.22950819672131148,0.3684210526315789,0.11368503248824097,0.7988949855849306
"Air temperature [K], Process temperature [K], Torque [Nm]",0.9665,0.36363636363636365,0.13114754098360656,0.1927710843373494,0.11367197722225145,0.8169074814633197
"Air temperature [K], Process temperature [K], Tool wear [min]",0.9685,0.0,0.0,0.0,0.1279441523752406,0.7162852239197153
"Air temperature [K], Rotational speed [rpm], Torque [Nm]",0.9655,0.3181818181818182,0.11475409836065574,0.1686746987951807,0.10831541193995736,0.8395953635049332
"Air temperature [K], Rotational speed [rpm], Tool wear [min]",0.9665,0.3333333333333333,0.09836065573770492,0.1518987341772152,0.10367061737498236,0.8719933377860821
"Air temperature [K], Torque [Nm], Tool wear [min]",0.975,0.7619047619047619,0.26229508196721313,0.3902439024390244,0.08868456979291865,0.9158810946998198
"Process temperature [K], Rotational speed [rpm], Torque [Nm]",0.9665,0.2,0.03278688524590164,0.056338028169014086,0.11249409397662793,0.8415230091563167
"Process temperature [K], Rotational speed [rpm], Tool wear [min]",0.9685,0.4,0.06557377049180328,0.11267605633802817,0.10630081541712276,0.8827433441270216
"Process temperature [K], Torque [Nm], Tool wear [min]",0.973,0.7333333333333333,0.18032786885245902,0.2894736842105263,0.09661269374743955,0.8885093719087919
"Rotational speed [rpm], Torque [Nm], Tool wear [min]",0.972,0.6923076923076923,0.14754098360655737,0.24324324324324326,0.09393545163139949,0.9106942060720837
